Item_9516_StoryDesc|时间流转，对星球初生之时的记忆，萝坦已经不大记得清了。
Item_94417_Desc|无论经历过多少岁月，他都不会忘记那个时代，那个属于角斗士的荣耀时代。
Item_9630_StoryDesc|我的船被什么紧紧缠绕，螺旋桨吃力地挣扎着，声音可怖。
Item_91765_Desc|无论经历过多少岁月，他都不会忘记那个时代，那个属于角斗士的荣耀时代。
Item_9876_StoryDesc|奥瑞塔出生时，大洪水带给城市的影响已经完全褪去了，但在偏远的乡镇上，人们还在为了活下去而挣扎着。
Item_9610_StoryDesc|自被华德·菲利普斯先生收留以来，阿利斯泰尔陪同他出席过不少次弥萨格的高层会议。
Item_9553_Desc|用于呼唤「环行·拉蒙娜」回头的道具，使用后可解锁「拉蒙娜」的本源形态。
Item_77870_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_94445_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9557_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_95690_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_77887_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_77901_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_77903_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9704_StoryDesc|时间的弦根根绷断，流动的琴键纷纷碎裂。
Item_54112_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_77894_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_34724_Desc|散逸在临时片场中的情绪粒子，触碰时仿佛听见了孩子们惬意的笑。
Item_122585_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9777_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9814_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_44580_Desc|后勤部向完成「调查行动」的守密人发放了特别许可，在每次完成调查行动后，守密人都可以为下一次的出发购置一批特别的珍贵银芯制品。
Item_77885_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9863_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_44576_Desc|后勤部向完成「调查行动」的守密人发放了特别许可，在每次完成调查行动后，守密人都可以为下一次的出发购置一批特别的珍贵银芯制品。
Item_44579_Desc|后勤部向完成「调查行动」的守密人发放了特别许可，在每次完成调查行动后，守密人都可以为下一次的出发购置一批特别的珍贵银芯制品。
Item_10039_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9981_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9732_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_130364_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_78758_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_54109_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_77890_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_77897_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_10054_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_77874_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_95593_Desc|所有力量的奥秘凝聚在这些红色的晶石之中，打开这个匣子的那一刻，你能感受到弥萨格对你倾注的信任与决心，校方相信倾尽全部的资源一定能培养出一位优秀的守密人。
Item_58150_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_89964_Desc|记录此钥令后，可在编队时选择钥令技能:「脑中之音」。
Item_58149_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_45302_Desc|记录此钥令后，可在编队时选择钥令技能:「群山的觉悟」。
Item_10070_Desc|当灵知被无限放大，它将触及真相的一角。
Item_58153_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_48014_Desc|记录此钥令后，可在编队时选择钥令技能:「脑中之音」。
Item_67378_Desc|狡黠，善变。你向无形者证明了你的价值。很快，祂将向你发来邀请，邀请你一同成为世间万物的化身，无影无质的终极。
Item_25136_Desc|封装着珍惜材料的礼袋，为执行课题纪录任务的守密人提供额外援助。
Item_48594_Desc|能够使守密人的细胞活性增强，在「每日试训」中获取双倍无垢之芯、银芯和守密人经验，并且「相位对弈」可使用所有卡牌。仅在本期课题纪录有效。
Item_9844_Desc|当灵知被无限放大，它将触及真相的一角。
Item_44265_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_10052_Desc|记录此钥令后，可在编队时选择钥令技能:「脑中之音」。
Item_58172_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_34699_Desc|可以窥见命运碎片的螺旋视窗。用于兑换命轮。
Item_119159_Desc|于你熟悉的世界中，定向到深海界域进行唤醒的原质捕获技术。
Item_9787_Desc|苍翠火炎点燃了所有宵小之徒的魂灵，烧却舞台上所有污秽。
Item_79414_Desc|极少数守密人才能拥有的身份标识。
Item_44809_Desc|外勤期间，可申请每日试训代理计划。
Item_95512_Desc|于你熟悉的世界中，定向到血肉界域进行唤醒的原质捕获技术。
Item_95519_Desc|于你熟悉的世界中，定向到深海界域进行唤醒的原质捕获技术。
Item_9568_Desc|她只追求某种绝对意义上的纯粹之美，将转瞬即逝的刹那铭刻为永恒。
Item_77889_Desc|能够增幅持有者指令卡造成的基础伤害和暴击伤害，并周期性提高持有者指令卡造成的最终伤害，在超维回合中能够发挥双倍效果！
Item_95699_Desc|能够增幅持有者造成的基础伤害，并随探索进程持续增加持有者的狂气爆发伤害与暴击率，食用胚胎时周期性额外获取狂气。
Item_10053_Desc|简洁的银质徽章，上面篆刻弥萨格的标志。
Item_130704_Desc|专注于增幅使用者狂气爆发的命轮，能够在探索中周期性回复狂气并提高其狂气爆发伤害，切换至怒涛姿态时提供大量界域精通。
Item_55891_Desc|祂在长梦中赐予灵性丰沛之人神启：禁忌的学识是虚荣者的诅咒，无知是赠予愚者的恩赐。
Item_100318_Desc|穿上风衣就会拥有背后音乐响起的气场，让风吹动你的衣摆，摆出你帅气的推理姿势吧！
Item_69862_Desc|解忧小店之中售卖的礼盒，能找到来自世界各地的罕有奇珍，需要用新鲜完整的头颅交换。
Item_119158_Desc|于你熟悉的世界中，定向到混沌界域进行唤醒的原质捕获技术。
Item_9685_Desc|记录此钥令后，可在编队时选择钥令技能:「纯白初遇」。
Item_36814_StoryDesc|骑士曾立誓，他会以这支枪守卫重要之人。此刻它贯穿了主人的胸膛，却只为将危险隔绝于外——这是骑士践行的最后的誓言。
Item_9785_Desc|象征着不详的捕梦网，传说能够链接通向永恒的大门。
Item_36847_StoryDesc|血肉消溶于深海，骨骼硬化为珊瑚，她的目光炽热，所拥抱之物是你，所雕刻之物亦是你。
Item_97140_Desc|皮克曼画室特供，选用优质画材，助你用笔触撕裂旧规，在色彩与线条的碰撞中释放内心的躁动。
Item_79413_Desc|极少数守密人才能拥有的身份标识。
Item_79412_Desc|极少数守密人才能拥有的身份标识。
Item_36863_Desc|触摸它，然后投身一场新的冒险；
Item_9864_Desc|她倾注全部身心，等待一个特殊的时刻。就快近了，那约定之日即将来临……
Item_9784_Desc|在那无数道原初的目光下，你们负伤，殒命。你们将以守密人之名，前赴后继。
Item_46606_Desc|用于在「人格解析」中进行交换的道具。
Item_49465_Desc|「注意关注圣河负载能力和自我调节限度，并探明含沙量异常的原因。」
Item_55921_Desc|交响乐曲抒情后的娱乐篇章，如同生命有力的脉搏，请欣赏静观与沉思后自由诙谐的趣味。
Item_119157_Desc|于你熟悉的世界中，定向到血肉界域进行唤醒的原质捕获技术。
Item_34700_Desc|装饰华丽的木匣，内含中阶升格材料。
Item_55906_Desc|在艾尔沃斯山顶新生的常青树的种子，坚韧的树苗终会越过风霜雨雪，长成参天的巨木。
Item_69861_Desc|解忧小店之中售卖的礼盒，比百货商场中时新的货品还要精致，需要用货真价实的头颅交换。
Item_34698_Desc|装饰华丽的木匣，内含初阶升格材料。
Item_9776_Desc|甜甜的，硬硬的。它们在孩童的絮语间传递，成为友谊的象征，童年的珍藏。
Item_9977_Desc|24的脑袋有些拥挤——她们在黑暗中私语、窃笑，不断撕扯她的内心。
Item_55911_Desc|穿上风衣就会拥有背后音乐响起的气场，让风吹动你的衣摆，摆出你帅气的推理姿势吧！
Item_90554_Desc|逸散在葬骸城中的情绪粒子，碰触时仿佛能听到食尸鬼满含欲望的呼吸。
Item_10027_Desc|头戴桂冠的维纳斯，在这一片黑暗阴影中，唯有她修长的身影闪闪发光。
Item_69852_Desc|在艾尔沃斯山顶新生的常青树的种子，坚韧的树苗终会越过风霜雨雪，长成参天的巨木。
Item_36889_Desc|散逸在坎布里安的情绪粒子，触碰时仿佛闻到了红酒和灰烬燃烧的气息。
Item_9619_Desc|符号、文字、记忆……它将篡改一切。
Item_9818_Desc|她究竟是如何说话的——这成了学院无数未解之谜中的一个。
Item_95515_Desc|于你熟悉的世界中，定向到超维界域进行唤醒的原质捕获技术。
Item_80192_Desc|逸散在心灵疗养院中的情绪粒子，碰触时仿佛能听到谁濒临崩溃的呢喃。
Item_95511_Desc|于你熟悉的世界中，定向到混沌界域进行唤醒的原质捕获技术。
Item_117263_Desc|逸散在不知谁的梦境中的情绪粒子，碰触时仿佛能听到谁回望来路时的迷茫低语。
Item_22165_Desc|没有什么是一支灵知制剂无法解决的。如果有，那就再来几支。
Item_35712_Desc|没有人能百分之百保证，其中封装的灵识都是自愿被唤醒的。
Item_90045_Desc|明明不在人偶身上，却会自己转动的齿轮套组，会在靠近之时传出絮语一般的轻微摩擦声。
Item_91730_Desc|弥萨格餐厅供应的日常肉类套餐之一，分量小巧、皮脆肉嫩，是绝对不会出错的选择。
Item_97139_Desc|皮克曼画室特供，专属初学者的套装，收录基础画材与实用工具，助你轻松踏入艺术的殿堂。
Item_69851_Desc|在艾尔沃斯山顶新生的蒲公英的种子，从冻土中长出的小小野草散发着勃勃生机。
Item_56483_Desc|代表着时代前沿技术的精密齿轮，可以代谢掉人偶老旧的部分。
Item_36815_StoryDesc|机械的人偶拒绝了新生之灵许诺的永恒，核心的电流灼烧她的灵魂。在无力支撑躯体之前，她还有最后一件必须完成的事情——
Item_55907_Desc|在艾尔沃斯山顶新生的洁白花朵的种子，冰与雪作它的枝与叶，严寒也不能催折它的芬芳。
Item_34702_Desc|装饰华丽的木匣，内含高阶升格材料。
Item_9781_Desc|掉落自名为刻耳柏洛斯的高维生物。以人类当前文明发展程度，尚无法解析其成分。
Item_56495_Desc|散逸在弥萨格校园中的情绪粒子，触碰时仿佛听见了无数的嘶吼与叹息。
Item_74200_Desc|散逸在灰烬雾都的情绪粒子，触碰时仿佛能听到谁绝望无助的咆哮。
Item_36859_StoryDesc|全部的24融为一体，化作星光消散。
Item_119152_Desc|于你熟悉的世界中，定向到超维界域进行唤醒的原质捕获技术。
Item_49204_StoryDesc|她将唯一的种子，渡让至你的口舌。
Item_72095_StoryDesc|当一个世界落幕，另一个世界的序章便已开启。故事会随着美酒一同不断被人们传颂，然而时间会为万事万物书写答案。
Item_56494_Desc|散逸在穷极之扉内部的情绪粒子，触碰时仿佛听见每一个维度与时空的絮语。
Item_97358_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_97361_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_44483_Desc|在活动「神王复苏」中完成成就获得。
Item_97408_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_94733_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_35816_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_25142_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_97393_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_51270_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51289_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51283_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51304_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51280_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51296_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51274_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51295_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51273_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51317_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51310_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51286_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51301_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51302_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51314_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51316_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51313_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51306_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51279_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51315_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51276_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51284_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_51269_Desc|在「故事的魔法·复刻」活动中通关「剧本迷思」或完成活动成就后获得，用于在「魔法剧本商店」中进行交换的道具。
Item_89952_Desc|安静的房间里，二十四名房客开始了她们的茶会。
Item_91766_Desc|黑暗而无尽的迷宫里，终于又迎来了新人，这令总是暴躁不满的苍白之主久违地露出了笑容。
Item_77868_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_130224_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_10058_Desc|散逸在济贫院中的情绪粒子，触碰时仿佛听见了“谢谢你”的低语。
Item_49464_Desc|「把五支羽毛笔绑在一起，就可以将密契抄写速度提升至五倍。守密人也来试试吧！」
Item_9647_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9843_Desc|散逸在拉伊小镇中的情绪粒子，触碰时仿佛听见了“没关系”的呢喃。
Item_54032_Desc|某位位高权重之人的葬礼上演奏的弥撒曲，表达了生者对亡者的哀悼和缅怀，同时坚信死亡不是终结，而是通往永生的开始。
Item_9801_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9686_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_69846_Desc|某位位高权重之人的葬礼上演奏的弥撒曲，表达了生者对亡者的哀悼和缅怀，同时坚信死亡不是终结，而是通往永生的开始。
Item_48014_StoryDesc|双手交握的那一刻，你们从对方的眼里看到了迷茫与困惑。
Item_9958_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_120491_StoryDesc|那个世界的雾境调查团先锋「茉夏」，是她。
Item_89964_StoryDesc|双手交握的那一刻，你们从对方的眼里看到了迷茫与困惑。
Item_69863_Desc|解忧小店之中售卖的礼盒，是从店主私人仓库中拿出的秘密珍藏，充满了闻所未闻的神奇物品，需要用值得收藏的美丽头颅交换。
Item_9540_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9653_StoryDesc|小老鼠和它的主人有着许多的共同点：
Item_9713_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9938_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9727_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_120958_Desc|在「课题纪录」中购买「核心课题」后可获得。
Item_9712_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_72824_Desc|位于赫普兰德大陆的一间小酒馆，其中有着能够连接不同世界的传送门。
Item_77872_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_66777_Desc|指针轮转不歇，与无回者一同向前。
Item_66796_Desc|指针轮转不歇，与无回者一同向前。
Item_66797_Desc|指针轮转不歇，与无回者一同向前。
Item_66775_Desc|指针轮转不歇，与无回者一同向前。
Item_66800_Desc|指针轮转不歇，与无回者一同向前。
Item_9967_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_130765_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9754_Desc|散逸在拉伊疯人院中的情绪粒子，触碰时仿佛听见了“好疼啊”的恸哭。
Item_66773_Desc|指针轮转不歇，与无回者一同向前。
Item_10034_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9750_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_10076_Desc|散逸在蜡像馆中的情绪粒子，触碰时仿佛听见了“别过来”的惊呼。
Item_56638_Desc|记录此钥令后，可在编队时选择钥令技能:「第四乐章」。
Item_9595_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_10088_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9880_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9878_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9766_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9614_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_77865_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_77858_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_10047_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9847_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_94441_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9538_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_9617_Desc|散逸在幽灵船中的情绪粒子，触碰时仿佛听见了“没办法”的沉吟。
Item_125187_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_91731_Desc|弥萨格餐厅偶尔供应的肉类套餐之一，选取新鲜羔羊肉低温烤制，香气扑鼻、汁水充盈，深受学生欢迎，很快就会被一抢而空。
Item_10052_StoryDesc|双手交握的那一刻，你们从对方的眼里看到了迷茫与困惑。
Item_9995_Desc|记录此钥令后，可在编队时选择钥令技能:「不朽的葬仪」。
Item_9558_Desc|散逸在无垠海中的情绪粒子，触碰时仿佛听见了“交给我”的诀语。
Item_36849_StoryDesc|少女已经数不清她经历的轮回，记不明她改变的历史。
Item_90857_Desc|在「共轭命途」中可获得。
Item_54108_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_130368_Desc|那是古老意志的失落灵识。 弥萨格通过神秘的仪式启发唤醒体的灵识，受到启发的唤醒体将永久增强精神能力。
Item_58174_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58178_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58163_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58173_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58162_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58160_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58175_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58158_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58157_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58170_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58171_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58154_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58167_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58168_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58169_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58164_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58161_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58159_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58166_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58152_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58156_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58176_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58151_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_58155_Desc|在活动「灵魂的牧人」中通过「圣堂之路」、「市民的善意」和「成就奖励」获取，用于在「义卖现场」中购买商品。
Item_9817_StoryDesc|双手大剑长而沉重，在足够的力道下足以将人斩成两段。
Item_9589_StoryDesc|「人们于潮来时诞生，于潮退时死亡」
Item_9642_StoryDesc|她从不做梦。
Item_9695_StoryDesc|手在黑暗中四处乱转，寻找自己的主人。
Item_48828_StoryDesc|他们在黑暗的河流中划行，苍白，沉默，疲惫不堪。
Item_39430_Desc|用于在「旺达的奇珍宝匣」中进行交换的道具。
Item_61259_Desc|用于在「脊刺之握」中进行交换的道具。
Item_61235_Desc|用于在「脊刺之握」中进行交换的道具。
